自治体名,運行日・運行期間,主な自動運転事業者,車種等,料金,補助金等1,補助金等2,備考,level,URL,地域,latitude,longitude,no
宇陀市2,2023年12月4～22日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.","AR-07(Yamaha Motor Co., Ltd.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,デジ活中山間地域（農林水産省）,,2,https://www.city.uda.nara.jp/s-suishin/kurashi/koutsuu/bus/automaticmobility.html,近畿,34.54467888,135.9685497,50
和歌山市,2024年2月14～18日,Nippon Mobility Inc.,"Pon'cho(HINO MOTORS, LTD.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,http://www.city.wakayama.wakayama.jp/kurashi/douro_kouen_machi/1007740/1055856.html,近畿,34.2320418,135.1904113,51
鳥取市,2024年1月22日～2月25日,"WILLER/TIER IV, Inc.",J6(BYD),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.tottori.lg.jp/www/contents/1701158247346/index.html,中国,35.49493221,134.2252128,52
備前市,2024年1月24～27日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.",GSM8(TAJIMA MOTOR CORPORATION),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.tottori.lg.jp/www/contents/1701158247346/index.html,中国,34.79346212,134.2193622,53
東広島市,2024年1月10日～2月4日,"Advanced Smart Mobility Co., Ltd.",?(?),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.higashihiroshima.lg.jp/soshiki/chiikishinko/1/1_1/37932.html,中国,34.42834883,132.7433192,54
江田島市,2024年1月20～21日,Nippon Mobility Inc.,?(?),不明,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.nichimobi.com/%E3%83%AA%E3%83%AA%E3%83%BC%E3%82%B9%E6%83%85%E5%A0%B1/2024010501,中国,34.20584005,132.4728935,55
美祢市,2023年12月18～23日,-,?(?),不明,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www3.nhk.or.jp/lnews/yamaguchi/20231218/4060018959.html,中国,34.21768149,131.344292,56
高松市,2024年2月（予定）,BOLDLY Inc.,MiCa(Auve Tech),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.asahi.com/articles/ASRDV6RDMRDVPTLC01R.html,四国,34.35923972,134.1027439,57
松山市,-,-,?(?),-,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,-,四国,33.88368615,132.7019763,58
伊予市,2024年1月31日～2月29日,BOLDLY Inc.,MiCa(Auve Tech),不明,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.iyo.lg.jp/kikakuseisaku/zidouunten.html,四国,33.68402912,132.6331681,59
北九州市,2023年12月11～22日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.",ERGA(ISUZU MOTORS LIMITED),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.ksrp.or.jp/fais/news/597b80ae1a1f46ac1440f89664cb876e.pdf,九州・沖縄,33.83939445,131.0308969,60
福岡市,2023年11月22日～12月3日,BOLDLY Inc.,MiCa(Auve Tech),無料,-,,,2,https://fse-mobility.jp/,九州・沖縄,33.6327192,130.4279445,-
大牟田市,2023年11月4～5日,BOLDLY Inc.,ARMA(NAVYA),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://prtimes.jp/main/html/rd/p/000000673.000017036.html,九州・沖縄,33.02989168,130.4429163,61
北谷町,2021年3月〜,-,"SC-1(Sony Corporation/Yamaha Motor Co., Ltd.)",大人500円（県民は300円）/小人300円（県民は無料）,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,,九州・沖縄,26.31614516,127.7559163,62
